date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,2,-1,0.0,7.9,2,96,05:38 PM,09:26 AM,08:50 AM,04:37 PM,-4,-4,1,-4,29,25,71,0.1,1002,2,8,35,20,Amsterdam
2010-01-02,3,-1,2.6,3.0,1,89,07:11 PM,09:56 AM,08:50 AM,04:39 PM,-1,-3,1,-3,19,84,87,3.1,1013,3,7,187,12,Amsterdam
2010-01-03,0,-3,1.9,7.9,1,82,08:41 PM,10:19 AM,08:50 AM,04:40 PM,-4,-6,-1,-6,20,35,80,2.2,1021,0,9,74,14,Amsterdam
2010-01-04,2,-2,1.2,4.9,1,75,10:09 PM,10:37 AM,08:50 AM,04:41 PM,-1,-4,0,-4,23,82,91,2.2,1016,2,7,219,15,Amsterdam
2010-01-05,2,-0,1.3,4.9,1,69,11:34 PM,10:53 AM,08:50 AM,04:42 PM,0,-3,1,-3,26,87,90,1.5,1005,2,6,225,16,Amsterdam
2010-01-06,1,-1,0.4,7.9,1,62,No moonrise,11:09 AM,08:49 AM,04:43 PM,-2,-5,-0,-5,21,53,90,0.5,1003,1,9,217,13,Amsterdam
2010-01-07,-1,-3,0.0,6.8,1,55,12:56 AM,11:25 AM,08:49 AM,04:45 PM,-3,-6,-2,-6,16,47,90,0.1,1009,-1,10,167,10,Amsterdam
2010-01-08,-2,-5,0.0,8.0,2,48,02:16 AM,11:43 AM,08:48 AM,04:46 PM,-5,-9,-3,-9,25,29,90,0.0,1021,-2,9,61,16,Amsterdam
2010-01-09,-0,-3,0.0,3.0,1,41,03:35 AM,12:05 PM,08:48 AM,04:48 PM,-3,-9,-2,-9,55,83,87,1.3,1021,-0,4,45,38,Amsterdam
2010-01-10,1,0,0.5,3.0,1,35,04:51 AM,12:34 PM,08:47 AM,04:49 PM,-1,-6,0,-6,42,100,90,2.1,1017,1,4,58,28,Amsterdam
2010-01-11,1,0,0.3,3.0,1,28,06:00 AM,01:12 PM,08:46 AM,04:50 PM,-1,-4,0,-4,24,97,93,0.4,1020,1,8,57,16,Amsterdam
2010-01-12,-0,-3,0.3,3.0,1,21,06:59 AM,02:01 PM,08:46 AM,04:52 PM,-2,-7,-1,-7,25,89,95,0.4,1015,-0,8,96,17,Amsterdam
2010-01-13,-1,-4,0.9,6.8,1,14,07:46 AM,03:00 PM,08:45 AM,04:54 PM,-3,-9,-2,-9,39,73,93,1.1,1005,-1,7,112,26,Amsterdam
2010-01-14,2,-1,0.3,3.0,1,8,08:22 AM,04:06 PM,08:44 AM,04:55 PM,0,-4,1,-4,24,73,96,0.5,1008,2,9,125,15,Amsterdam
2010-01-15,1,-1,0.0,8.1,1,1,08:49 AM,05:16 PM,08:43 AM,04:57 PM,-1,-4,0,-4,21,50,95,0.0,1020,1,9,140,13,Amsterdam
2010-01-16,1,-1,0.0,4.9,1,6,09:10 AM,06:26 PM,08:42 AM,04:58 PM,-1,-6,0,-6,41,75,94,4.1,1015,1,9,147,26,Amsterdam
2010-01-17,5,2,0.0,5.0,1,13,09:26 AM,07:37 PM,08:41 AM,05:00 PM,3,-1,3,-1,30,85,96,8.5,1012,5,6,244,17,Amsterdam
2010-01-18,5,3,0.0,3.2,1,20,09:40 AM,08:46 PM,08:40 AM,05:02 PM,4,1,4,1,27,82,96,1.8,1023,5,6,243,15,Amsterdam
2010-01-19,5,2,0.0,6.9,1,26,09:53 AM,09:55 PM,08:39 AM,05:03 PM,3,1,4,1,17,68,96,0.8,1023,5,4,201,10,Amsterdam
2010-01-20,4,1,0.0,6.9,1,33,10:05 AM,11:05 PM,08:38 AM,05:05 PM,1,-3,2,-3,27,73,93,0.3,1016,4,10,92,17,Amsterdam
2010-01-21,3,1,0.1,3.3,1,40,10:17 AM,No moonset,08:37 AM,05:07 PM,1,-3,2,-3,24,83,91,0.2,1021,3,9,103,15,Amsterdam
2010-01-22,4,2,0.0,6.9,1,47,10:32 AM,12:16 AM,08:36 AM,05:09 PM,1,-2,2,-2,28,51,91,0.0,1023,4,10,127,18,Amsterdam
2010-01-23,2,0,0.0,5.1,1,53,10:50 AM,01:31 AM,08:35 AM,05:10 PM,-0,-4,1,-4,27,83,89,6.6,1022,2,7,131,18,Amsterdam
2010-01-24,0,-1,1.7,3.3,1,60,11:14 AM,02:47 AM,08:33 AM,05:12 PM,-2,-4,-0,-4,15,94,88,7.0,1023,0,8,91,10,Amsterdam
2010-01-25,-2,-4,0.0,8.7,2,67,11:47 AM,04:06 AM,08:32 AM,05:14 PM,-4,-7,-2,-7,15,38,87,0.0,1030,-2,10,54,11,Amsterdam
2010-01-26,-3,-6,0.0,8.7,2,74,12:34 PM,05:21 AM,08:31 AM,05:16 PM,-8,-10,-4,-10,18,14,75,0.0,1040,-3,10,68,13,Amsterdam
2010-01-27,4,-5,0.0,3.3,1,80,01:39 PM,06:25 AM,08:29 AM,05:18 PM,-5,-6,-1,-6,35,80,75,4.0,1027,4,9,230,20,Amsterdam
2010-01-28,4,2,1.7,3.3,1,87,03:00 PM,07:15 AM,08:28 AM,05:20 PM,1,-2,3,-2,42,92,87,5.8,1006,4,6,306,24,Amsterdam
2010-01-29,3,1,1.3,3.4,1,94,04:31 PM,07:52 AM,08:26 AM,05:21 PM,1,-3,2,-3,33,82,91,8.7,988,3,7,289,20,Amsterdam
2010-01-30,1,-1,1.3,5.1,1,100,06:05 PM,08:19 AM,08:25 AM,05:23 PM,-2,-4,0,-4,26,59,83,1.6,993,1,8,274,16,Amsterdam
2010-01-31,3,1,0.3,8.7,2,92,07:37 PM,08:40 AM,08:23 AM,05:25 PM,-1,-3,2,-3,35,41,84,0.4,1002,3,9,269,21,Amsterdam
2010-02-01,3,-0,1.9,5.2,1,86,09:06 PM,08:58 AM,08:22 AM,05:27 PM,-1,-3,1,-3,25,70,87,2.2,1008,3,9,240,15,Amsterdam
2010-02-02,4,1,1.3,3.4,1,79,10:33 PM,09:14 AM,08:20 AM,05:29 PM,2,-3,3,-3,49,92,94,16.9,1004,4,7,250,29,Amsterdam
2010-02-03,4,1,0.0,8.7,2,72,11:57 PM,09:31 AM,08:18 AM,05:31 PM,0,-2,2,-2,32,27,86,0.0,1008,4,10,258,18,Amsterdam
2010-02-04,6,2,0.0,3.4,2,65,No moonrise,09:49 AM,08:17 AM,05:33 PM,4,0,4,0,31,89,97,6.1,1009,6,9,180,18,Amsterdam
2010-02-05,5,3,0.0,3.5,1,59,01:20 AM,10:10 AM,08:15 AM,05:35 PM,3,-0,4,-0,32,92,97,1.8,1005,5,8,154,19,Amsterdam
2010-02-06,4,1,0.0,3.5,1,52,02:38 AM,10:37 AM,08:13 AM,05:36 PM,2,-0,3,-0,19,86,96,0.3,1013,4,5,92,11,Amsterdam
2010-02-07,2,0,1.4,3.5,1,45,03:51 AM,11:12 AM,08:12 AM,05:38 PM,-0,-3,1,-3,17,90,94,1.6,1021,2,5,68,12,Amsterdam
2010-02-08,-2,-5,0.5,5.2,1,38,04:54 AM,11:57 AM,08:10 AM,05:40 PM,-5,-9,-3,-9,25,59,88,0.6,1014,-2,9,69,18,Amsterdam
2010-02-09,-2,-5,0.0,5.2,1,31,05:45 AM,12:53 PM,08:08 AM,05:42 PM,-5,-9,-3,-9,22,56,86,0.0,1010,-2,10,49,16,Amsterdam
2010-02-10,-0,-4,0.6,3.5,1,25,06:24 AM,01:57 PM,08:06 AM,05:44 PM,-5,-8,-2,-8,31,81,79,2.5,1012,-0,5,54,22,Amsterdam
2010-02-11,0,-2,0.0,5.3,1,18,06:53 AM,03:05 PM,08:04 AM,05:46 PM,-4,-8,-1,-8,41,71,81,1.9,1018,0,5,38,29,Amsterdam
2010-02-12,1,-3,0.0,7.0,1,11,07:16 AM,04:15 PM,08:02 AM,05:48 PM,-3,-7,-1,-7,29,42,86,0.0,1021,1,10,37,18,Amsterdam
2010-02-13,1,-2,0.3,3.6,1,4,07:34 AM,05:26 PM,08:01 AM,05:50 PM,-3,-5,-1,-5,20,88,84,0.3,1020,1,9,24,13,Amsterdam
2010-02-14,0,-3,1.4,3.7,1,2,07:49 AM,06:35 PM,07:59 AM,05:52 PM,-3,-5,-1,-5,15,97,86,1.7,1015,0,7,90,11,Amsterdam
2010-02-15,-2,-4,0.3,3.7,1,9,08:01 AM,07:45 PM,07:57 AM,05:53 PM,-5,-7,-3,-7,12,91,85,0.3,1008,-2,9,113,9,Amsterdam
2010-02-16,2,-4,0.2,5.4,1,16,08:14 AM,08:54 PM,07:55 AM,05:55 PM,-2,-7,-1,-7,38,55,90,0.4,999,2,7,163,24,Amsterdam
2010-02-17,2,-3,0.0,8.7,1,23,08:26 AM,10:05 PM,07:53 AM,05:57 PM,-2,-6,-1,-6,27,31,89,0.3,994,2,9,124,17,Amsterdam
2010-02-18,3,0,0.0,3.8,1,29,08:40 AM,11:18 PM,07:51 AM,05:59 PM,1,-2,2,-2,22,82,95,2.0,994,3,7,181,14,Amsterdam
2010-02-19,4,2,0.9,5.3,1,36,08:57 AM,No moonset,07:49 AM,06:01 PM,2,-2,3,-2,39,92,92,3.4,990,4,6,219,24,Amsterdam
2010-02-20,3,0,0.9,6.9,1,43,09:19 AM,12:32 AM,07:47 AM,06:03 PM,-1,-3,1,-3,32,54,87,1.0,996,3,9,253,20,Amsterdam
2010-02-21,2,-1,0.0,6.9,1,50,09:47 AM,01:49 AM,07:45 AM,06:04 PM,-0,-4,1,-4,30,58,93,7.3,997,2,8,186,18,Amsterdam
2010-02-22,3,2,0.0,5.3,1,57,10:26 AM,03:02 AM,07:43 AM,06:06 PM,2,-1,2,-1,24,96,99,21.3,988,3,6,124,14,Amsterdam
2010-02-23,4,1,0.9,10.7,1,63,11:21 AM,04:09 AM,07:40 AM,06:08 PM,-0,-3,2,-3,33,52,85,2.5,994,4,7,65,23,Amsterdam
2010-02-24,7,1,0.0,5.4,2,70,12:31 PM,05:04 AM,07:38 AM,06:10 PM,4,1,4,1,25,93,95,3.9,996,7,8,153,15,Amsterdam
2010-02-25,8,6,0.0,8.5,2,77,01:56 PM,05:46 AM,07:36 AM,06:12 PM,6,3,7,3,37,88,93,5.4,990,8,6,181,23,Amsterdam
2010-02-26,8,5,0.0,5.4,2,84,03:26 PM,06:17 AM,07:34 AM,06:14 PM,5,2,6,2,48,94,91,4.4,987,8,5,204,29,Amsterdam
