date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-2,-3,6.5,2.9,1,96,05:01 PM,08:51 AM,08:17 AM,04:03 PM,-3,-8,-2,-8,19,98,95,7.6,998,-2,4,41,12,Berlin
2010-01-02,-1,-4,5.5,3.0,1,89,06:33 PM,09:22 AM,08:17 AM,04:04 PM,-3,-7,-2,-7,19,97,98,6.5,1011,-1,5,241,12,Berlin
2010-01-03,-3,-14,0.6,7.9,1,82,08:05 PM,09:45 AM,08:17 AM,04:05 PM,-7,-10,-7,-10,9,48,98,0.7,1020,-3,5,99,5,Berlin
2010-01-04,-8,-15,0.0,3.0,1,75,09:33 PM,10:03 AM,08:16 AM,04:06 PM,-11,-16,-11,-16,14,59,98,0.0,1017,-8,3,224,8,Berlin
2010-01-05,-5,-9,0.0,7.9,1,69,10:58 PM,10:19 AM,08:16 AM,04:07 PM,-8,-12,-7,-12,17,61,97,0.0,1010,-5,3,174,10,Berlin
2010-01-06,-5,-12,0.6,3.0,1,62,No moonrise,10:34 AM,08:16 AM,04:09 PM,-8,-11,-8,-11,11,89,98,0.7,1005,-5,3,180,6,Berlin
2010-01-07,-6,-9,0.4,3.0,1,55,12:20 AM,10:50 AM,08:15 AM,04:10 PM,-8,-12,-7,-12,16,97,97,0.5,1010,-6,5,236,10,Berlin
2010-01-08,-4,-7,0.3,3.0,1,48,01:41 AM,11:08 AM,08:15 AM,04:11 PM,-6,-9,-5,-9,18,95,97,0.4,1021,-4,6,123,11,Berlin
2010-01-09,-3,-4,3.5,3.0,1,41,03:00 AM,11:30 AM,08:14 AM,04:13 PM,-4,-10,-3,-10,39,100,96,10.6,1016,-3,1,49,25,Berlin
2010-01-10,-3,-5,1.8,3.0,1,35,04:15 AM,11:59 AM,08:14 AM,04:14 PM,-4,-10,-4,-10,23,100,97,2.1,1015,-3,5,46,15,Berlin
