date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-29,-41,0.5,1.8,1,96,05:02 PM,09:48 AM,09:20 AM,04:24 PM,-32,-39,-32,-39,11,80,100,0.6,1035,-29,2,210,7,Krasnoyarsk
2010-01-02,-33,-44,0.0,1.8,1,89,06:40 PM,10:15 AM,09:20 AM,04:25 PM,-37,-45,-37,-45,11,80,100,0.0,1037,-33,0,88,5,Krasnoyarsk
2010-01-03,-30,-42,0.0,5.8,1,82,08:18 PM,10:34 AM,09:20 AM,04:27 PM,-35,-42,-35,-42,12,34,100,0.0,1044,-30,0,94,6,Krasnoyarsk
2010-01-04,-31,-36,0.0,1.8,1,75,09:52 PM,10:48 AM,09:19 AM,04:28 PM,-33,-42,-33,-42,16,80,100,0.0,1043,-31,0,75,8,Krasnoyarsk
2010-01-05,-31,-36,0.0,1.8,1,69,11:23 PM,10:59 AM,09:19 AM,04:30 PM,-34,-44,-33,-44,19,93,99,0.0,1045,-31,4,73,11,Krasnoyarsk
2010-01-06,-33,-35,0.0,1.8,1,62,No moonrise,11:10 AM,09:18 AM,04:31 PM,-34,-44,-34,-44,18,99,100,0.0,1038,-33,4,70,11,Krasnoyarsk
2010-01-07,-31,-45,0.0,1.8,1,55,12:50 AM,11:21 AM,09:18 AM,04:32 PM,-36,-43,-36,-43,12,91,100,0.0,1031,-31,0,99,6,Krasnoyarsk
2010-01-08,-31,-37,1.0,1.8,1,48,02:16 AM,11:34 AM,09:17 AM,04:34 PM,-33,-42,-33,-42,14,97,100,1.2,1040,-31,4,256,9,Krasnoyarsk
2010-01-09,-29,-32,0.7,1.8,1,41,03:42 AM,11:50 AM,09:16 AM,04:36 PM,-31,-38,-31,-38,10,100,99,0.8,1049,-29,4,230,6,Krasnoyarsk
2010-01-10,-28,-38,0.0,1.8,1,35,05:03 AM,12:12 PM,09:16 AM,04:37 PM,-32,-38,-32,-38,9,88,99,0.0,1051,-28,1,184,5,Krasnoyarsk
2010-01-11,-22,-31,0.0,1.8,1,28,06:19 AM,12:43 PM,09:15 AM,04:39 PM,-27,-34,-26,-34,17,51,99,0.0,1044,-22,0,149,9,Krasnoyarsk
2010-01-12,-13,-21,1.2,1.8,1,21,07:23 AM,01:27 PM,09:14 AM,04:41 PM,-16,-23,-16,-23,21,82,99,1.4,1021,-13,4,182,13,Krasnoyarsk
2010-01-13,-12,-18,1.7,3.8,1,14,08:12 AM,02:24 PM,09:13 AM,04:42 PM,-15,-22,-15,-22,19,80,99,2.0,1021,-12,2,214,12,Krasnoyarsk
2010-01-14,-14,-18,0.2,3.8,1,8,08:48 AM,03:33 PM,09:12 AM,04:44 PM,-15,-22,-15,-22,20,66,99,0.2,1017,-14,3,187,11,Krasnoyarsk
2010-01-15,-7,-17,3.1,1.8,1,1,09:12 AM,04:47 PM,09:11 AM,04:46 PM,-10,-17,-10,-17,31,89,99,3.6,1012,-7,5,231,19,Krasnoyarsk
2010-01-16,-14,-33,0.7,1.8,1,6,09:29 AM,06:03 PM,09:10 AM,04:48 PM,-21,-28,-21,-28,16,79,99,0.8,1022,-14,3,227,9,Krasnoyarsk
2010-01-17,-25,-31,0.4,1.9,1,13,09:42 AM,07:18 PM,09:08 AM,04:50 PM,-27,-34,-27,-34,14,98,99,0.5,1030,-25,5,263,7,Krasnoyarsk
2010-01-18,-31,-34,0.0,1.9,1,20,09:52 AM,08:32 PM,09:07 AM,04:52 PM,-32,-41,-32,-41,16,100,99,0.0,1044,-31,1,267,9,Krasnoyarsk
2010-01-19,-23,-33,1.6,1.9,1,26,10:01 AM,09:45 PM,09:06 AM,04:54 PM,-28,-40,-28,-40,31,100,99,1.9,1058,-23,6,245,20,Krasnoyarsk
2010-01-20,-19,-22,1.1,1.9,1,33,10:09 AM,10:59 PM,09:04 AM,04:56 PM,-20,-31,-20,-31,35,100,99,1.3,1056,-19,6,259,23,Krasnoyarsk
2010-01-21,-21,-22,0.3,1.9,1,40,10:18 AM,No moonset,09:03 AM,04:58 PM,-21,-29,-21,-29,19,98,99,0.4,1052,-21,5,254,12,Krasnoyarsk
2010-01-22,-16,-20,0.0,2.0,1,47,10:28 AM,12:14 AM,09:01 AM,05:00 PM,-18,-27,-18,-27,28,87,99,0.0,1038,-16,10,239,17,Krasnoyarsk
2010-01-23,-20,-27,2.0,3.0,1,53,10:40 AM,01:33 AM,09:00 AM,05:02 PM,-23,-32,-23,-32,23,100,99,2.4,1035,-20,6,269,15,Krasnoyarsk
2010-01-24,-19,-28,0.0,3.2,1,60,10:58 AM,02:54 AM,08:58 AM,05:04 PM,-22,-32,-22,-32,27,77,98,0.0,1035,-19,10,235,17,Krasnoyarsk
