date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-28,-37,0.0,1.9,1,96,05:51 PM,10:21 AM,09:54 AM,05:10 PM,-32,-40,-32,-40,17,93,98,0.0,1032,-28,4,98,10,Novosibirsk
2010-01-02,-30,-34,0.0,1.9,1,89,07:27 PM,10:50 AM,09:53 AM,05:11 PM,-31,-41,-31,-41,20,72,98,0.0,1035,-30,4,152,12,Novosibirsk
2010-01-03,-22,-33,0.0,3.9,1,82,09:03 PM,11:11 AM,09:53 AM,05:13 PM,-28,-38,-28,-38,25,59,97,0.0,1035,-22,6,55,14,Novosibirsk
2010-01-04,-21,-24,0.0,5.8,1,75,10:35 PM,11:26 AM,09:53 AM,05:14 PM,-23,-34,-23,-34,33,42,96,0.0,1031,-21,10,53,19,Novosibirsk
2010-01-05,-22,-25,0.0,5.8,2,69,No moonrise,11:39 AM,09:52 AM,05:15 PM,-24,-36,-24,-36,35,29,96,0.0,1032,-22,10,58,21,Novosibirsk
2010-01-06,-27,-30,0.0,1.9,1,62,12:04 AM,11:51 AM,09:52 AM,05:17 PM,-28,-40,-28,-40,34,72,97,0.0,1030,-27,10,44,21,Novosibirsk
2010-01-07,-30,-36,0.0,1.9,1,55,01:31 AM,12:03 PM,09:51 AM,05:18 PM,-32,-44,-32,-44,23,97,97,0.0,1031,-30,8,103,14,Novosibirsk
2010-01-08,-31,-39,0.0,1.9,1,48,02:55 AM,12:17 PM,09:51 AM,05:20 PM,-34,-40,-34,-40,11,98,99,0.0,1043,-31,0,221,6,Novosibirsk
2010-01-09,-26,-32,0.3,1.9,1,41,04:18 AM,12:35 PM,09:50 AM,05:21 PM,-30,-39,-29,-39,16,100,97,0.3,1048,-26,3,201,10,Novosibirsk
2010-01-10,-26,-28,0.3,1.9,1,35,05:39 AM,12:59 PM,09:49 AM,05:23 PM,-27,-37,-26,-37,21,93,97,0.3,1046,-26,7,187,14,Novosibirsk
2010-01-11,-11,-20,2.7,1.9,1,28,06:52 AM,01:32 PM,09:49 AM,05:24 PM,-14,-23,-13,-23,37,99,96,5.9,1028,-11,3,177,23,Novosibirsk
2010-01-12,-12,-20,1.3,1.9,1,21,07:56 AM,02:16 PM,09:48 AM,05:26 PM,-15,-22,-15,-22,24,99,97,1.5,1016,-12,6,234,15,Novosibirsk
2010-01-13,-17,-23,0.1,2.0,1,14,08:45 AM,03:14 PM,09:47 AM,05:28 PM,-20,-31,-20,-31,35,98,97,0.1,1021,-17,8,205,22,Novosibirsk
2010-01-14,-11,-17,0.2,2.0,1,8,09:21 AM,04:21 PM,09:46 AM,05:30 PM,-14,-23,-14,-23,31,97,97,0.7,1010,-11,7,189,19,Novosibirsk
2010-01-15,-14,-21,0.5,3.9,1,1,09:46 AM,05:35 PM,09:45 AM,05:31 PM,-17,-25,-16,-25,31,89,96,1.8,1015,-14,5,227,19,Novosibirsk
2010-01-16,-19,-27,0.8,2.0,1,6,10:04 AM,06:48 PM,09:44 AM,05:33 PM,-22,-33,-22,-33,30,100,97,0.9,1025,-19,6,231,19,Novosibirsk
2010-01-17,-27,-37,0.2,2.0,1,13,10:18 AM,08:02 PM,09:43 AM,05:35 PM,-30,-39,-30,-39,16,99,98,0.2,1033,-27,4,254,10,Novosibirsk
2010-01-18,-32,-41,0.0,5.8,1,20,10:30 AM,09:15 PM,09:42 AM,05:37 PM,-37,-45,-37,-45,11,61,99,0.0,1048,-32,0,273,6,Novosibirsk
2010-01-19,-27,-34,0.0,5.8,1,26,10:40 AM,10:27 PM,09:40 AM,05:39 PM,-32,-41,-31,-41,17,47,95,0.0,1067,-27,4,210,9,Novosibirsk
2010-01-20,-24,-33,0.0,5.8,1,33,10:49 AM,11:40 PM,09:39 AM,05:41 PM,-30,-36,-29,-36,13,33,93,0.0,1066,-24,7,246,6,Novosibirsk
2010-01-21,-19,-28,0.0,5.8,1,40,10:59 AM,No moonset,09:38 AM,05:42 PM,-25,-31,-24,-31,14,14,92,0.0,1056,-19,8,297,7,Novosibirsk
2010-01-22,-19,-30,0.0,5.8,1,47,11:10 AM,12:54 AM,09:36 AM,05:44 PM,-25,-29,-25,-29,9,3,98,0.0,1043,-19,1,193,5,Novosibirsk
2010-01-23,-23,-27,0.0,3.9,1,53,11:24 AM,02:11 AM,09:35 AM,05:46 PM,-25,-32,-24,-32,16,45,97,0.0,1042,-23,2,98,8,Novosibirsk
2010-01-24,-19,-30,0.0,5.8,1,60,11:43 AM,03:31 AM,09:33 AM,05:48 PM,-27,-29,-26,-29,9,6,92,0.0,1038,-19,7,214,5,Novosibirsk
2010-01-25,-17,-27,0.3,5.8,1,67,12:10 PM,04:53 AM,09:32 AM,05:50 PM,-22,-28,-21,-28,19,61,90,0.3,1025,-17,9,265,11,Novosibirsk
2010-01-26,-30,-35,0.2,2.1,1,74,12:51 PM,06:12 AM,09:30 AM,05:52 PM,-30,-41,-30,-41,23,63,97,0.2,1042,-30,7,23,13,Novosibirsk
2010-01-27,-24,-39,0.0,5.8,2,80,01:51 PM,07:20 AM,09:29 AM,05:54 PM,-31,-40,-30,-40,22,14,92,0.0,1046,-24,9,224,13,Novosibirsk
2010-01-28,-19,-24,0.0,5.8,2,87,03:12 PM,08:11 AM,09:27 AM,05:56 PM,-23,-33,-22,-33,35,11,94,0.0,1043,-19,10,234,20,Novosibirsk
2010-01-29,-17,-29,0.0,5.8,2,94,04:45 PM,08:47 AM,09:25 AM,05:58 PM,-25,-30,-24,-30,16,25,87,0.0,1038,-17,10,284,8,Novosibirsk
2010-01-30,-17,-28,0.0,5.1,1,100,06:23 PM,09:12 AM,09:24 AM,06:00 PM,-24,-29,-23,-29,15,49,89,0.0,1038,-17,7,76,8,Novosibirsk
2010-01-31,-20,-26,0.0,8.7,1,92,08:00 PM,09:30 AM,09:22 AM,06:02 PM,-23,-30,-23,-30,18,38,97,0.0,1040,-20,1,27,9,Novosibirsk
2010-02-01,-22,-28,0.0,8.7,1,86,09:34 PM,09:45 AM,09:20 AM,06:04 PM,-27,-33,-26,-33,15,29,93,0.0,1044,-22,8,44,8,Novosibirsk
2010-02-02,-24,-28,0.0,3.3,1,79,11:05 PM,09:58 AM,09:18 AM,06:06 PM,-27,-36,-26,-36,23,72,95,0.0,1041,-24,9,34,13,Novosibirsk
2010-02-03,-23,-28,0.0,3.3,1,72,No moonrise,10:10 AM,09:16 AM,06:08 PM,-26,-37,-26,-37,28,84,97,0.0,1037,-23,10,32,17,Novosibirsk
2010-02-04,-24,-29,0.0,5.1,1,65,12:33 AM,10:24 AM,09:15 AM,06:11 PM,-27,-39,-27,-39,30,74,97,0.0,1031,-24,10,17,18,Novosibirsk
2010-02-05,-24,-29,0.3,3.4,1,59,02:00 AM,10:41 AM,09:13 AM,06:13 PM,-27,-32,-27,-32,12,99,98,0.4,1024,-24,4,201,7,Novosibirsk
2010-02-06,-24,-31,0.3,3.4,1,52,03:24 AM,11:03 AM,09:11 AM,06:15 PM,-27,-34,-27,-34,10,100,98,0.4,1028,-24,4,103,6,Novosibirsk
2010-02-07,-25,-36,0.6,3.4,1,45,04:42 AM,11:33 AM,09:09 AM,06:17 PM,-29,-38,-29,-38,19,100,98,0.7,1038,-25,5,245,12,Novosibirsk
2010-02-08,-25,-33,0.3,3.4,1,38,05:49 AM,12:14 PM,09:07 AM,06:19 PM,-28,-37,-28,-37,15,100,97,0.3,1043,-25,5,209,10,Novosibirsk
2010-02-09,-26,-39,0.0,5.2,1,31,06:43 AM,01:08 PM,09:05 AM,06:21 PM,-34,-37,-33,-37,7,78,99,0.0,1050,-26,1,132,4,Novosibirsk
2010-02-10,-25,-34,0.0,3.5,1,25,07:23 AM,02:12 PM,09:02 AM,06:23 PM,-30,-39,-30,-39,19,72,98,0.0,1055,-25,0,20,10,Novosibirsk
2010-02-11,-26,-33,0.0,4.6,1,18,07:51 AM,03:23 PM,09:00 AM,06:25 PM,-30,-39,-30,-39,21,86,98,0.0,1053,-26,0,14,11,Novosibirsk
2010-02-12,-23,-36,0.0,9.7,1,11,08:11 AM,04:36 PM,08:58 AM,06:27 PM,-30,-37,-30,-37,14,60,98,0.0,1049,-23,1,208,7,Novosibirsk
2010-02-13,-19,-27,0.5,4.9,1,4,08:27 AM,05:51 PM,08:56 AM,06:29 PM,-24,-35,-23,-35,37,82,96,1.4,1040,-19,5,205,23,Novosibirsk
2010-02-14,-11,-20,2.0,4.9,1,2,08:39 AM,07:03 PM,08:54 AM,06:32 PM,-16,-26,-16,-26,38,100,96,2.6,1025,-11,2,230,24,Novosibirsk
2010-02-15,-12,-18,0.7,4.9,1,9,08:50 AM,08:16 PM,08:52 AM,06:34 PM,-15,-24,-15,-24,34,100,97,1.3,1030,-12,6,230,21,Novosibirsk
2010-02-16,-9,-11,0.0,4.9,1,16,08:59 AM,09:29 PM,08:49 AM,06:36 PM,-10,-19,-9,-19,54,100,96,2.6,1025,-9,4,231,34,Novosibirsk
2010-02-17,-8,-10,0.0,5.0,1,23,09:09 AM,10:42 PM,08:47 AM,06:38 PM,-10,-19,-9,-19,50,95,93,0.0,1020,-8,10,211,30,Novosibirsk
2010-02-18,-2,-8,0.0,5.0,1,29,09:20 AM,11:57 PM,08:45 AM,06:40 PM,-5,-13,-5,-13,49,97,95,3.8,999,-2,4,203,31,Novosibirsk
2010-02-19,-16,-22,0.0,5.0,1,36,09:33 AM,No moonset,08:43 AM,06:42 PM,-17,-27,-16,-27,41,100,95,2.5,1012,-16,3,245,27,Novosibirsk
2010-02-20,-15,-27,0.7,5.0,1,43,09:49 AM,01:15 AM,08:40 AM,06:44 PM,-22,-31,-21,-31,29,90,97,0.8,1022,-15,4,185,17,Novosibirsk
