date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,8,6,0.0,3.1,2,96,05:34 PM,08:38 AM,08:08 AM,04:41 PM,6,4,7,4,34,91,91,10.7,1001,8,7,198,20,Rostov-on-Don
2010-01-02,11,7,0.0,3.1,2,89,06:59 PM,09:16 AM,08:08 AM,04:42 PM,8,6,9,6,41,94,93,23.9,994,11,6,180,25,Rostov-on-Don
2010-01-03,7,-2,2.0,3.1,1,82,08:23 PM,09:46 AM,08:08 AM,04:43 PM,1,-1,3,-1,27,99,85,5.2,999,7,6,287,20,Rostov-on-Don
2010-01-04,-5,-6,0.0,8.4,1,75,09:45 PM,10:10 AM,08:08 AM,04:44 PM,-8,-11,-5,-11,24,51,77,0.0,1014,-5,10,33,17,Rostov-on-Don
2010-01-05,-4,-9,0.0,8.4,2,69,11:04 PM,10:32 AM,08:08 AM,04:45 PM,-9,-11,-7,-11,13,33,81,0.0,1027,-4,10,81,9,Rostov-on-Don
2010-01-06,-1,-7,0.0,8.4,2,62,No moonrise,10:53 AM,08:07 AM,04:47 PM,-7,-9,-4,-9,25,36,79,0.0,1028,-1,10,101,16,Rostov-on-Don
2010-01-07,-0,-3,2.5,3.2,1,55,12:20 AM,11:14 AM,08:07 AM,04:48 PM,-3,-9,-2,-9,47,100,87,9.0,1022,-0,3,115,31,Rostov-on-Don
2010-01-08,3,1,0.0,3.2,1,48,01:36 AM,11:38 AM,08:07 AM,04:49 PM,2,-1,2,-1,25,100,98,2.6,1025,3,3,146,14,Rostov-on-Don
2010-01-09,5,2,0.0,6.9,1,41,02:49 AM,12:05 PM,08:06 AM,04:50 PM,3,0,3,0,27,56,96,0.5,1028,5,8,112,14,Rostov-on-Don
2010-01-10,6,2,0.0,8.5,1,35,03:59 AM,12:37 PM,08:06 AM,04:51 PM,3,-1,3,-1,31,60,95,0.0,1022,6,10,92,19,Rostov-on-Don
2010-01-11,3,1,0.0,3.2,1,28,05:05 AM,01:18 PM,08:06 AM,04:53 PM,1,-4,2,-4,52,97,91,1.6,1015,3,9,95,34,Rostov-on-Don
2010-01-12,2,-0,0.8,3.2,1,21,06:04 AM,02:07 PM,08:05 AM,04:54 PM,0,-4,1,-4,34,100,96,6.0,1016,2,5,102,22,Rostov-on-Don
2010-01-13,4,1,0.0,5.0,1,14,06:53 AM,03:03 PM,08:05 AM,04:55 PM,2,-1,2,-1,21,84,98,5.4,1015,4,8,99,12,Rostov-on-Don
2010-01-14,3,-1,0.0,6.9,1,8,07:34 AM,04:05 PM,08:04 AM,04:56 PM,-0,-4,1,-4,33,73,94,1.1,1016,3,10,85,21,Rostov-on-Don
2010-01-15,1,0,2.2,3.2,1,1,08:05 AM,05:11 PM,08:04 AM,04:58 PM,-0,-5,0,-5,40,100,95,14.4,1019,1,7,102,26,Rostov-on-Don
2010-01-16,-1,-5,0.6,3.2,1,6,08:31 AM,06:16 PM,08:03 AM,04:59 PM,-3,-8,-2,-8,36,100,93,4.7,1029,-1,4,79,25,Rostov-on-Don
2010-01-17,-7,-9,0.0,6.9,1,13,08:53 AM,07:21 PM,08:02 AM,05:01 PM,-11,-17,-8,-17,46,53,82,0.3,1039,-7,9,76,33,Rostov-on-Don
2010-01-18,-7,-10,0.0,3.4,1,20,09:12 AM,08:25 PM,08:01 AM,05:02 PM,-10,-18,-8,-18,55,94,87,0.4,1035,-7,4,82,37,Rostov-on-Don
2010-01-19,-6,-9,0.0,3.4,1,26,09:29 AM,09:30 PM,08:01 AM,05:03 PM,-9,-17,-7,-17,60,98,88,0.9,1027,-6,1,73,41,Rostov-on-Don
2010-01-20,-6,-11,0.0,3.4,1,33,09:46 AM,10:34 PM,08:00 AM,05:05 PM,-10,-18,-8,-18,56,97,89,6.9,1024,-6,3,76,38,Rostov-on-Don
2010-01-21,-7,-9,0.0,3.6,1,40,10:03 AM,11:41 PM,07:59 AM,05:06 PM,-9,-17,-7,-17,56,100,91,7.1,1024,-7,0,80,38,Rostov-on-Don
2010-01-22,-11,-12,1.4,3.6,1,47,10:22 AM,No moonset,07:58 AM,05:08 PM,-12,-21,-11,-21,46,100,94,16.9,1028,-11,0,74,32,Rostov-on-Don
2010-01-23,-10,-12,0.9,3.6,1,53,10:45 AM,12:49 AM,07:57 AM,05:09 PM,-13,-22,-12,-22,41,100,94,3.2,1026,-10,1,62,28,Rostov-on-Don
2010-01-24,-11,-14,5.2,3.6,1,60,11:14 AM,02:01 AM,07:56 AM,05:11 PM,-13,-22,-12,-22,38,100,95,8.0,1024,-11,1,46,26,Rostov-on-Don
2010-01-25,-13,-16,0.3,3.6,1,67,11:51 AM,03:14 AM,07:55 AM,05:12 PM,-16,-24,-15,-24,25,83,94,0.4,1028,-13,9,222,17,Rostov-on-Don
2010-01-26,-13,-19,0.0,8.7,1,74,12:39 PM,04:25 AM,07:54 AM,05:14 PM,-18,-24,-17,-24,22,24,93,0.0,1035,-13,9,330,14,Rostov-on-Don
2010-01-27,-11,-19,0.0,8.7,1,80,01:43 PM,05:30 AM,07:53 AM,05:15 PM,-17,-21,-16,-21,11,10,93,0.0,1037,-11,8,248,6,Rostov-on-Don
2010-01-28,-11,-17,1.4,7.0,1,87,02:59 PM,06:24 AM,07:52 AM,05:17 PM,-15,-21,-14,-21,23,48,94,1.6,1019,-11,5,81,14,Rostov-on-Don
