date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-12,-15,0.4,1.5,1,96,04:59 PM,10:34 AM,10:00 AM,04:05 PM,-13,-18,-13,-18,14,100,99,0.5,1008,-12,3,72,9,Saint-Petersburg
2010-01-02,-10,-14,0.8,1.5,1,89,06:47 PM,10:51 AM,10:00 AM,04:06 PM,-12,-17,-12,-17,12,100,99,0.9,1014,-10,3,138,7,Saint-Petersburg
2010-01-03,-16,-18,0.2,1.6,1,82,08:33 PM,11:00 AM,09:59 AM,04:08 PM,-16,-21,-16,-21,12,100,100,0.2,1011,-16,3,256,7,Saint-Petersburg
2010-01-04,-4,-17,1.4,1.6,1,75,10:14 PM,11:07 AM,09:59 AM,04:09 PM,-8,-14,-8,-14,19,92,99,1.6,1004,-4,5,201,12,Saint-Petersburg
2010-01-05,-6,-10,4.7,1.6,1,69,11:51 PM,11:12 AM,09:58 AM,04:11 PM,-8,-14,-7,-14,27,100,99,5.5,1007,-6,2,190,18,Saint-Petersburg
2010-01-06,-7,-10,2.0,1.6,1,62,No moonrise,11:17 AM,09:57 AM,04:13 PM,-8,-14,-8,-14,21,100,99,2.3,1017,-7,4,175,13,Saint-Petersburg
2010-01-07,-8,-12,11.1,1.6,1,55,01:25 AM,11:22 AM,09:56 AM,04:14 PM,-10,-15,-9,-15,19,100,99,13.0,1013,-8,2,108,12,Saint-Petersburg
2010-01-08,-9,-15,1.3,1.7,1,48,02:58 AM,11:28 AM,09:55 AM,04:16 PM,-11,-16,-11,-16,15,98,99,1.5,1017,-9,6,269,9,Saint-Petersburg
2010-01-09,-13,-18,0.0,5.8,1,41,04:30 AM,11:38 AM,09:54 AM,04:18 PM,-16,-21,-16,-21,15,40,99,0.0,1033,-13,0,270,7,Saint-Petersburg
2010-01-10,-10,-15,0.0,5.8,1,35,06:00 AM,11:53 AM,09:53 AM,04:20 PM,-13,-18,-12,-18,16,23,98,0.0,1036,-10,0,243,8,Saint-Petersburg
2010-01-11,-5,-10,0.9,1.7,1,28,07:22 AM,12:18 PM,09:52 AM,04:22 PM,-7,-12,-7,-12,18,83,99,1.0,1029,-5,3,251,11,Saint-Petersburg
2010-01-12,-3,-5,1.5,1.7,1,21,08:28 AM,01:01 PM,09:51 AM,04:24 PM,-4,-7,-3,-7,14,91,99,1.8,1023,-3,5,278,9,Saint-Petersburg
2010-01-13,-5,-7,0.3,1.7,1,14,09:12 AM,02:04 PM,09:49 AM,04:26 PM,-5,-8,-5,-8,14,72,99,0.3,1022,-5,4,262,8,Saint-Petersburg
2010-01-14,-3,-7,1.2,1.7,1,8,09:38 AM,03:22 PM,09:48 AM,04:29 PM,-5,-8,-5,-8,13,97,100,1.4,1025,-3,4,257,8,Saint-Petersburg
2010-01-15,-6,-14,0.9,1.7,1,1,09:53 AM,04:44 PM,09:46 AM,04:31 PM,-8,-11,-8,-11,9,85,100,1.0,1032,-6,5,201,5,Saint-Petersburg
2010-01-16,-12,-18,0.0,3.8,1,6,10:02 AM,06:07 PM,09:45 AM,04:33 PM,-15,-19,-15,-19,13,54,100,0.0,1042,-12,0,180,6,Saint-Petersburg
2010-01-17,-14,-16,0.0,5.8,1,13,10:08 AM,07:29 PM,09:43 AM,04:35 PM,-15,-20,-15,-20,15,57,99,0.0,1042,-14,0,175,7,Saint-Petersburg
2010-01-18,-13,-16,0.0,5.8,1,20,10:12 AM,08:48 PM,09:42 AM,04:38 PM,-15,-21,-15,-21,18,20,95,0.0,1042,-13,5,157,10,Saint-Petersburg
2010-01-19,-15,-19,0.0,5.8,1,26,10:16 AM,10:07 PM,09:40 AM,04:40 PM,-17,-23,-17,-23,20,16,97,0.0,1041,-15,2,150,10,Saint-Petersburg
2010-01-20,-17,-21,0.0,5.8,1,33,10:19 AM,11:27 PM,09:38 AM,04:43 PM,-19,-25,-19,-25,14,16,97,0.0,1044,-17,1,136,7,Saint-Petersburg
2010-01-21,-18,-24,0.0,5.8,1,40,10:22 AM,No moonset,09:36 AM,04:45 PM,-21,-26,-21,-26,15,32,99,0.0,1048,-18,0,122,7,Saint-Petersburg
2010-01-22,-18,-24,0.0,5.8,1,47,10:27 AM,12:49 AM,09:34 AM,04:48 PM,-21,-26,-21,-26,14,26,99,0.0,1049,-18,0,138,7,Saint-Petersburg
2010-01-23,-20,-28,0.0,5.8,1,53,10:34 AM,02:14 AM,09:32 AM,04:50 PM,-25,-29,-25,-29,8,19,100,0.0,1047,-20,0,231,4,Saint-Petersburg
2010-01-24,-15,-23,0.1,1.8,1,60,10:44 AM,03:45 AM,09:30 AM,04:53 PM,-18,-23,-17,-23,16,85,100,0.1,1042,-15,2,303,9,Saint-Petersburg
2010-01-25,-11,-16,0.7,1.8,1,67,11:03 AM,05:17 AM,09:28 AM,04:55 PM,-13,-19,-13,-19,14,99,99,0.8,1039,-11,3,225,8,Saint-Petersburg
2010-01-26,-17,-19,0.1,5.8,1,74,11:39 AM,06:44 AM,09:26 AM,04:58 PM,-18,-22,-17,-22,10,75,96,0.1,1043,-17,6,80,7,Saint-Petersburg
2010-01-27,-19,-21,0.1,1.9,1,80,12:41 PM,07:51 AM,09:24 AM,05:00 PM,-20,-27,-19,-27,17,77,96,0.1,1027,-19,8,168,11,Saint-Petersburg
2010-01-28,-16,-22,1.0,2.0,1,87,02:12 PM,08:32 AM,09:22 AM,05:03 PM,-19,-29,-19,-29,28,94,98,1.2,1006,-16,6,129,18,Saint-Petersburg
2010-01-29,-10,-15,3.3,2.0,1,94,04:00 PM,08:55 AM,09:20 AM,05:05 PM,-12,-20,-12,-20,27,100,99,3.9,995,-10,2,122,18,Saint-Petersburg
2010-01-30,-5,-10,1.8,2.0,1,100,05:49 PM,09:08 AM,09:18 AM,05:08 PM,-8,-14,-8,-14,24,100,99,2.1,998,-5,4,130,15,Saint-Petersburg
2010-01-31,-3,-8,3.5,2.0,1,92,07:36 PM,09:16 AM,09:15 AM,05:11 PM,-5,-11,-5,-11,26,100,99,4.1,1004,-3,3,146,17,Saint-Petersburg
2010-02-01,-5,-7,8.6,2.0,1,86,09:18 PM,09:22 AM,09:13 AM,05:13 PM,-5,-10,-5,-10,19,100,99,10.1,1007,-5,4,90,12,Saint-Petersburg
