date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-1,-3,6.2,2.9,1,96,05:22 PM,09:25 AM,08:54 AM,04:32 PM,-3,-10,-2,-10,50,100,95,18.1,1010,-1,1,171,31,Samara
2010-01-02,-2,-3,3.7,2.9,1,89,06:55 PM,09:55 AM,08:54 AM,04:33 PM,-3,-9,-2,-9,40,100,97,11.0,1006,-2,2,155,26,Samara
2010-01-03,0,-6,2.6,2.9,1,82,08:27 PM,10:18 AM,08:54 AM,04:34 PM,-2,-9,-2,-9,47,100,97,13.8,999,0,1,152,31,Samara
2010-01-04,-12,-20,3.1,2.9,1,75,09:57 PM,10:35 AM,08:53 AM,04:36 PM,-13,-21,-13,-21,30,84,97,3.6,1006,-12,7,294,20,Samara
2010-01-05,-19,-23,0.0,7.8,1,69,11:23 PM,10:51 AM,08:53 AM,04:37 PM,-22,-29,-22,-29,21,23,96,0.0,1026,-19,4,287,11,Samara
2010-01-06,-19,-26,0.0,7.9,1,62,No moonrise,11:05 AM,08:52 AM,04:38 PM,-25,-29,-24,-29,11,14,97,0.0,1035,-19,3,146,5,Samara
2010-01-07,-19,-28,0.0,7.9,1,55,12:46 AM,11:20 AM,08:52 AM,04:40 PM,-24,-29,-24,-29,14,27,98,0.0,1041,-19,1,114,7,Samara
2010-01-08,-17,-21,0.0,7.9,1,48,02:08 AM,11:37 AM,08:51 AM,04:41 PM,-19,-28,-19,-28,31,41,94,0.0,1041,-17,9,138,18,Samara
2010-01-09,-6,-12,1.6,3.0,1,41,03:28 AM,11:58 AM,08:51 AM,04:42 PM,-8,-15,-8,-15,31,100,97,2.9,1034,-6,4,197,20,Samara
2010-01-10,-9,-20,4.6,6.8,1,35,04:45 AM,12:24 PM,08:50 AM,04:44 PM,-13,-19,-13,-19,18,70,98,5.4,1030,-9,2,322,10,Samara
2010-01-11,-11,-22,0.1,4.9,1,28,05:56 AM,01:00 PM,08:50 AM,04:45 PM,-17,-23,-17,-23,21,61,98,0.1,1028,-11,5,260,11,Samara
2010-01-12,-11,-17,0.1,6.8,1,21,06:57 AM,01:47 PM,08:49 AM,04:47 PM,-13,-18,-13,-18,21,78,98,0.1,1023,-11,6,227,12,Samara
2010-01-13,-7,-10,0.5,4.9,1,14,07:46 AM,02:45 PM,08:48 AM,04:49 PM,-9,-15,-9,-15,27,85,97,0.6,1016,-7,8,269,17,Samara
2010-01-14,-10,-12,0.3,3.0,1,8,08:22 AM,03:52 PM,08:47 AM,04:50 PM,-11,-18,-11,-18,26,98,97,0.4,1018,-10,8,309,16,Samara
2010-01-15,-20,-25,0.0,4.9,1,1,08:49 AM,05:02 PM,08:46 AM,04:52 PM,-21,-25,-21,-25,15,59,99,0.0,1031,-20,2,162,7,Samara
2010-01-16,-20,-24,0.0,6.8,1,6,09:10 AM,06:14 PM,08:45 AM,04:53 PM,-22,-29,-22,-29,21,58,98,0.0,1041,-20,3,164,10,Samara
2010-01-17,-17,-24,0.0,8.1,1,13,09:26 AM,07:25 PM,08:44 AM,04:55 PM,-23,-29,-22,-29,18,7,93,0.0,1051,-17,7,264,9,Samara
2010-01-18,-17,-22,0.2,8.1,1,20,09:39 AM,08:35 PM,08:43 AM,04:57 PM,-21,-27,-20,-27,22,35,93,0.2,1048,-17,8,270,11,Samara
2010-01-19,-18,-22,0.0,4.9,1,26,09:51 AM,09:45 PM,08:42 AM,04:59 PM,-21,-28,-21,-28,19,64,98,0.0,1045,-18,1,92,10,Samara
2010-01-20,-17,-23,0.0,5.0,1,33,10:02 AM,10:56 PM,08:41 AM,05:00 PM,-21,-28,-20,-28,22,48,97,0.0,1044,-17,1,78,11,Samara
2010-01-21,-20,-23,0.0,8.6,2,40,10:14 AM,No moonset,08:40 AM,05:02 PM,-22,-30,-22,-30,26,14,93,0.0,1043,-20,9,49,13,Samara
2010-01-22,-23,-29,0.0,8.7,1,47,10:27 AM,12:08 AM,08:39 AM,05:04 PM,-26,-34,-26,-34,18,18,96,0.0,1038,-23,3,102,9,Samara
2010-01-23,-24,-32,0.0,8.7,1,53,10:44 AM,01:23 AM,08:37 AM,05:06 PM,-29,-36,-29,-36,13,21,97,0.0,1037,-24,1,60,6,Samara
2010-01-24,-21,-33,0.0,5.1,1,60,11:06 AM,02:40 AM,08:36 AM,05:08 PM,-28,-32,-27,-32,10,61,95,0.0,1033,-21,4,82,5,Samara
2010-01-25,-14,-19,4.6,3.3,1,67,11:37 AM,04:00 AM,08:35 AM,05:10 PM,-16,-24,-16,-24,24,92,96,5.4,1033,-14,2,64,16,Samara
