date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-5,-7,10.6,1.9,1,96,05:49 PM,10:09 AM,09:39 AM,05:01 PM,-6,-12,-5,-12,36,96,96,12.5,1018,-5,3,177,23,Ufa
2010-01-02,-10,-11,7.7,1.9,1,89,07:25 PM,10:38 AM,09:39 AM,05:03 PM,-10,-18,-10,-18,35,100,96,9.0,1016,-10,2,167,23,Ufa
2010-01-03,-6,-11,3.6,1.9,1,82,08:59 PM,10:59 AM,09:39 AM,05:04 PM,-9,-16,-8,-16,32,100,96,4.2,1010,-6,4,160,20,Ufa
2010-01-04,-6,-9,8.9,1.9,1,75,10:31 PM,11:14 AM,09:38 AM,05:05 PM,-7,-13,-7,-13,25,100,97,10.5,1005,-6,2,182,17,Ufa
2010-01-05,-21,-26,0.1,1.9,1,69,11:59 PM,11:28 AM,09:38 AM,05:06 PM,-22,-30,-21,-30,23,97,99,0.1,1021,-21,3,310,14,Ufa
2010-01-06,-24,-29,0.0,1.9,1,62,No moonrise,11:41 AM,09:37 AM,05:08 PM,-27,-36,-27,-36,22,70,98,0.0,1033,-24,0,334,11,Ufa
2010-01-07,-25,-31,0.0,5.8,1,55,01:24 AM,11:54 AM,09:37 AM,05:09 PM,-29,-36,-29,-36,15,16,97,0.0,1041,-25,1,170,8,Ufa
2010-01-08,-22,-32,0.0,5.8,1,48,02:48 AM,12:08 PM,09:36 AM,05:11 PM,-27,-32,-26,-32,17,8,96,0.0,1045,-22,6,115,9,Ufa
2010-01-09,-12,-20,3.7,1.9,1,41,04:10 AM,12:27 PM,09:36 AM,05:12 PM,-15,-25,-15,-25,38,86,96,7.0,1037,-12,4,191,24,Ufa
2010-01-10,-9,-17,2.7,1.9,1,35,05:30 AM,12:52 PM,09:35 AM,05:14 PM,-12,-19,-12,-19,25,100,98,3.2,1028,-9,4,251,16,Ufa
2010-01-11,-15,-30,0.9,2.0,1,28,06:42 AM,01:27 PM,09:34 AM,05:15 PM,-20,-26,-20,-26,17,97,99,1.0,1026,-15,3,297,10,Ufa
2010-01-12,-12,-32,1.9,2.0,1,21,07:44 AM,02:12 PM,09:33 AM,05:17 PM,-20,-27,-20,-27,23,84,98,2.2,1022,-12,3,210,14,Ufa
2010-01-13,-7,-11,4.3,2.0,1,14,08:32 AM,03:11 PM,09:32 AM,05:19 PM,-10,-16,-9,-16,22,100,98,5.1,1012,-7,2,233,14,Ufa
2010-01-14,-11,-13,1.0,2.0,1,8,09:08 AM,04:18 PM,09:32 AM,05:20 PM,-12,-18,-12,-18,21,100,97,1.2,1013,-11,5,291,13,Ufa
2010-01-15,-17,-21,0.0,2.0,1,1,09:33 AM,05:31 PM,09:31 AM,05:22 PM,-19,-25,-18,-25,20,92,98,0.0,1028,-17,3,276,11,Ufa
2010-01-16,-17,-27,0.4,2.0,1,6,09:52 AM,06:44 PM,09:29 AM,05:24 PM,-20,-27,-20,-27,17,83,99,0.5,1039,-17,6,311,9,Ufa
2010-01-17,-17,-28,0.0,5.8,1,13,10:06 AM,07:57 PM,09:28 AM,05:26 PM,-23,-30,-22,-30,20,52,98,0.0,1046,-17,0,272,10,Ufa
2010-01-18,-15,-19,1.3,2.0,1,20,10:18 AM,09:09 PM,09:27 AM,05:28 PM,-18,-24,-17,-24,17,88,97,1.5,1045,-15,6,238,10,Ufa
2010-01-19,-17,-22,0.6,2.0,1,26,10:28 AM,10:20 PM,09:26 AM,05:29 PM,-20,-24,-19,-24,12,100,98,0.7,1047,-17,6,129,6,Ufa
2010-01-20,-14,-23,0.3,2.0,1,33,10:38 AM,11:33 PM,09:25 AM,05:31 PM,-18,-23,-17,-23,16,85,95,0.4,1048,-14,8,98,8,Ufa
