date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-5,-9,4.7,3.0,1,96,05:16 PM,09:01 AM,08:30 AM,04:24 PM,-6,-13,-6,-13,30,96,97,8.4,1001,-5,5,182,20,Voronezh
2010-01-02,-3,-8,8.0,3.0,1,89,06:47 PM,09:34 AM,08:29 AM,04:25 PM,-6,-12,-5,-12,35,100,97,19.2,997,-3,4,44,23,Voronezh
2010-01-03,-8,-16,0.0,3.0,1,82,08:17 PM,09:58 AM,08:29 AM,04:26 PM,-11,-19,-11,-19,36,97,96,2.2,1003,-8,6,333,24,Voronezh
2010-01-04,-18,-22,0.0,8.0,1,75,09:45 PM,10:17 AM,08:29 AM,04:27 PM,-20,-27,-20,-27,21,35,97,0.0,1019,-18,3,299,10,Voronezh
2010-01-05,-17,-23,0.0,8.0,1,69,11:08 PM,10:34 AM,08:29 AM,04:28 PM,-20,-26,-20,-26,19,41,95,0.0,1028,-17,4,206,9,Voronezh
2010-01-06,-10,-16,0.1,6.8,1,62,No moonrise,10:51 AM,08:28 AM,04:30 PM,-14,-20,-13,-20,26,62,96,0.1,1030,-10,6,137,13,Voronezh
2010-01-07,-7,-11,0.0,3.0,1,55,12:29 AM,11:08 AM,08:28 AM,04:31 PM,-9,-17,-8,-17,48,88,95,9.3,1025,-7,4,136,29,Voronezh
2010-01-08,0,-5,6.7,3.0,1,48,01:50 AM,11:27 AM,08:28 AM,04:32 PM,-3,-7,-3,-7,21,94,98,8.0,1025,0,1,206,13,Voronezh
2010-01-09,-1,-7,0.0,3.0,1,41,03:08 AM,11:49 AM,08:27 AM,04:34 PM,-3,-7,-3,-7,19,100,99,13.8,1030,-1,4,106,12,Voronezh
2010-01-10,-6,-8,2.2,3.0,1,35,04:22 AM,12:18 PM,08:27 AM,04:35 PM,-7,-14,-6,-14,37,78,97,3.5,1029,-6,6,65,24,Voronezh
2010-01-11,-8,-11,0.0,4.9,1,28,05:32 AM,12:56 PM,08:26 AM,04:36 PM,-10,-18,-9,-18,36,65,94,0.0,1026,-8,10,82,22,Voronezh
2010-01-12,-6,-10,0.2,6.8,1,21,06:32 AM,01:44 PM,08:25 AM,04:38 PM,-9,-15,-8,-15,31,71,95,0.2,1024,-6,10,93,18,Voronezh
2010-01-13,-6,-13,1.4,6.8,1,14,07:21 AM,02:41 PM,08:25 AM,04:39 PM,-9,-13,-9,-13,16,61,96,1.7,1020,-6,5,65,9,Voronezh
2010-01-14,-11,-15,0.0,8.2,1,8,07:58 AM,03:46 PM,08:24 AM,04:41 PM,-14,-20,-14,-20,22,27,96,0.0,1025,-11,3,58,11,Voronezh
