date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-2,-3,9.2,3.0,1,96,04:30 PM,08:18 AM,07:46 AM,03:34 PM,-3,-8,-3,-8,19,96,96,10.8,997,-2,2,60,13,Warsaw
2010-01-02,-2,-4,3.6,3.0,1,89,06:02 PM,08:50 AM,07:46 AM,03:35 PM,-3,-6,-3,-6,13,100,96,4.2,1006,-2,2,148,9,Warsaw
2010-01-03,-6,-9,1.4,3.0,1,82,07:33 PM,09:14 AM,07:45 AM,03:36 PM,-7,-10,-6,-10,14,91,94,1.7,1017,-6,6,343,10,Warsaw
2010-01-04,-6,-11,0.2,3.0,1,75,09:01 PM,09:32 AM,07:45 AM,03:37 PM,-9,-13,-8,-13,15,63,97,0.2,1018,-6,4,219,9,Warsaw
2010-01-05,-4,-9,0.0,3.0,1,69,10:25 PM,09:48 AM,07:45 AM,03:39 PM,-7,-12,-7,-12,15,82,98,0.0,1015,-4,5,172,9,Warsaw
2010-01-06,-5,-8,4.5,3.0,1,62,11:48 PM,10:04 AM,07:44 AM,03:40 PM,-7,-12,-6,-12,20,95,98,5.3,1007,-5,4,75,14,Warsaw
2010-01-07,-4,-6,0.1,3.0,1,55,No moonrise,10:20 AM,07:44 AM,03:41 PM,-6,-9,-5,-9,13,95,97,0.1,1011,-4,5,243,9,Warsaw
2010-01-08,-5,-11,1.0,3.0,1,48,01:08 AM,10:38 AM,07:44 AM,03:43 PM,-7,-10,-7,-10,16,79,98,1.2,1022,-5,1,161,10,Warsaw
2010-01-09,-3,-4,12.5,3.0,1,41,02:26 AM,11:01 AM,07:43 AM,03:44 PM,-4,-10,-3,-10,41,100,98,14.7,1018,-3,4,68,26,Warsaw
2010-01-10,-3,-4,5.4,3.0,1,35,03:42 AM,11:29 AM,07:42 AM,03:45 PM,-3,-9,-3,-9,31,100,98,6.4,1015,-3,5,62,20,Warsaw
2010-01-11,-3,-4,4.1,3.0,1,28,04:52 AM,12:07 PM,07:42 AM,03:47 PM,-3,-7,-3,-7,14,100,99,4.8,1017,-3,2,47,9,Warsaw
2010-01-12,-2,-5,2.1,3.0,1,21,05:51 AM,12:55 PM,07:41 AM,03:48 PM,-3,-6,-3,-6,11,96,99,2.5,1021,-2,5,36,7,Warsaw
2010-01-13,-3,-11,0.2,8.1,1,14,06:39 AM,01:53 PM,07:40 AM,03:50 PM,-6,-10,-6,-10,18,58,99,0.2,1021,-3,2,68,10,Warsaw
2010-01-14,-7,-13,0.2,3.0,1,8,07:16 AM,02:59 PM,07:40 AM,03:51 PM,-10,-15,-10,-15,19,59,99,0.2,1022,-7,3,83,11,Warsaw
2010-01-15,-4,-9,0.8,3.1,1,1,07:43 AM,04:09 PM,07:39 AM,03:53 PM,-6,-10,-6,-10,14,89,99,0.9,1029,-4,7,78,9,Warsaw
2010-01-16,-5,-12,0.3,6.8,1,6,08:04 AM,05:19 PM,07:38 AM,03:55 PM,-9,-14,-8,-14,21,72,99,0.3,1035,-5,5,105,13,Warsaw
2010-01-17,-4,-7,0.8,3.1,1,13,08:20 AM,06:29 PM,07:37 AM,03:56 PM,-6,-12,-6,-12,30,100,98,0.9,1028,-4,6,120,20,Warsaw
2010-01-18,-2,-5,0.7,3.1,1,20,08:34 AM,07:39 PM,07:36 AM,03:58 PM,-3,-8,-3,-8,23,100,98,0.8,1026,-2,8,127,15,Warsaw
2010-01-19,-5,-8,0.7,3.1,1,26,08:47 AM,08:47 PM,07:35 AM,03:59 PM,-6,-11,-6,-11,17,100,99,0.8,1027,-5,5,99,12,Warsaw
2010-01-20,-7,-10,2.5,3.3,1,33,09:00 AM,09:57 PM,07:34 AM,04:01 PM,-8,-14,-8,-14,21,98,98,2.9,1027,-7,5,82,14,Warsaw
2010-01-21,-8,-10,0.9,3.3,1,40,09:13 AM,11:08 PM,07:33 AM,04:03 PM,-9,-16,-9,-16,22,100,98,1.0,1030,-8,5,75,14,Warsaw
2010-01-22,-10,-15,0.3,8.7,1,47,09:28 AM,No moonset,07:31 AM,04:04 PM,-11,-17,-11,-17,21,76,98,0.3,1036,-10,6,83,13,Warsaw
2010-01-23,-12,-17,0.0,6.9,1,53,09:46 AM,12:22 AM,07:30 AM,04:06 PM,-15,-22,-15,-22,20,66,98,0.0,1038,-12,3,95,12,Warsaw
2010-01-24,-13,-18,0.0,8.7,1,60,10:09 AM,01:39 AM,07:29 AM,04:08 PM,-17,-23,-16,-23,19,39,98,0.0,1040,-13,0,88,10,Warsaw
2010-01-25,-12,-19,0.0,6.9,1,67,10:42 AM,02:57 AM,07:28 AM,04:10 PM,-18,-22,-17,-22,15,40,96,0.0,1041,-12,1,90,7,Warsaw
2010-01-26,-12,-21,0.1,8.7,1,74,11:28 AM,04:12 AM,07:26 AM,04:11 PM,-17,-22,-17,-22,13,38,96,0.1,1040,-12,3,176,6,Warsaw
2010-01-27,-8,-14,1.2,3.3,1,80,12:32 PM,05:17 AM,07:25 AM,04:13 PM,-11,-17,-11,-17,20,94,98,1.5,1025,-8,6,238,13,Warsaw
2010-01-28,-1,-10,5.2,3.3,1,87,01:53 PM,06:08 AM,07:23 AM,04:15 PM,-5,-11,-4,-11,34,96,98,6.1,992,-1,5,223,22,Warsaw
2010-01-29,-2,-3,1.0,3.4,1,94,03:23 PM,06:45 AM,07:22 AM,04:17 PM,-3,-7,-2,-7,24,98,97,1.2,990,-2,6,224,16,Warsaw
2010-01-30,0,-4,1.6,5.1,1,100,04:57 PM,07:13 AM,07:20 AM,04:19 PM,-2,-8,-2,-8,31,72,98,2.0,990,0,7,187,19,Warsaw
2010-01-31,-3,-8,0.1,3.4,1,92,06:28 PM,07:35 AM,07:19 AM,04:21 PM,-6,-9,-5,-9,12,85,98,0.1,1003,-3,3,307,7,Warsaw
2010-02-01,-3,-9,0.6,3.4,1,86,07:58 PM,07:53 AM,07:17 AM,04:22 PM,-6,-10,-6,-10,15,98,98,0.7,1007,-3,1,267,9,Warsaw
2010-02-02,-1,-3,1.0,3.4,1,79,09:25 PM,08:09 AM,07:16 AM,04:24 PM,-2,-6,-2,-6,19,89,98,1.2,1011,-1,5,231,12,Warsaw
2010-02-03,-0,-5,6.8,3.4,1,72,10:49 PM,08:25 AM,07:14 AM,04:26 PM,-3,-8,-3,-8,31,86,98,8.0,1007,-0,5,203,18,Warsaw
2010-02-04,0,-6,0.2,5.2,1,65,No moonrise,08:43 AM,07:12 AM,04:28 PM,-3,-6,-3,-6,15,60,99,0.2,1021,0,2,192,8,Warsaw
2010-02-05,-2,-6,0.1,8.7,1,59,12:11 AM,09:05 AM,07:11 AM,04:30 PM,-4,-10,-4,-10,27,61,98,0.2,1025,-2,8,112,17,Warsaw
2010-02-06,-4,-7,0.7,3.5,1,52,01:30 AM,09:32 AM,07:09 AM,04:32 PM,-6,-12,-6,-12,27,97,98,0.8,1023,-4,6,90,17,Warsaw
2010-02-07,-6,-7,1.1,3.5,1,45,02:42 AM,10:07 AM,07:07 AM,04:34 PM,-7,-11,-7,-11,15,100,98,1.3,1022,-6,4,69,9,Warsaw
2010-02-08,-5,-9,1.7,3.5,1,38,03:46 AM,10:51 AM,07:05 AM,04:36 PM,-7,-9,-7,-9,7,100,99,2.0,1017,-5,4,75,5,Warsaw
2010-02-09,-5,-12,0.3,3.5,1,31,04:37 AM,11:47 AM,07:03 AM,04:38 PM,-8,-10,-8,-10,7,100,99,0.4,1012,-5,4,101,4,Warsaw
2010-02-10,-3,-9,0.5,3.5,1,25,05:18 AM,12:50 PM,07:02 AM,04:39 PM,-6,-10,-6,-10,20,95,99,0.6,1012,-3,4,98,12,Warsaw
2010-02-11,0,-6,7.6,3.5,1,18,05:48 AM,01:58 PM,07:00 AM,04:41 PM,-3,-9,-3,-9,31,100,99,8.9,1010,0,3,77,20,Warsaw
2010-02-12,0,-2,2.0,3.7,1,11,06:10 AM,03:09 PM,06:58 AM,04:43 PM,-1,-5,-1,-5,17,100,99,2.4,1010,0,3,92,11,Warsaw
2010-02-13,0,-2,1.4,3.7,1,4,06:28 AM,04:18 PM,06:56 AM,04:45 PM,-2,-5,-2,-5,14,100,99,1.6,1012,0,5,43,9,Warsaw
2010-02-14,-2,-4,9.1,3.7,1,2,06:43 AM,05:28 PM,06:54 AM,04:47 PM,-3,-8,-3,-8,18,100,99,10.7,1011,-2,2,290,12,Warsaw
2010-02-15,-3,-7,4.2,3.7,1,9,06:56 AM,06:37 PM,06:52 AM,04:49 PM,-5,-8,-5,-8,9,100,99,4.9,1010,-3,4,233,6,Warsaw
2010-02-16,-2,-9,0.4,3.8,1,16,07:09 AM,07:47 PM,06:50 AM,04:51 PM,-6,-8,-5,-8,8,99,99,0.5,1010,-2,8,129,5,Warsaw
2010-02-17,-1,-7,0.1,3.8,1,23,07:22 AM,08:57 PM,06:48 AM,04:53 PM,-3,-7,-3,-7,20,77,99,0.2,1008,-1,4,116,12,Warsaw
2010-02-18,0,0,0.0,3.8,1,29,07:36 AM,10:10 PM,06:46 AM,04:55 PM,0,-3,0,-3,18,100,100,1.0,1002,0,2,139,10,Warsaw
2010-02-19,1,0,0.0,3.8,1,36,07:53 AM,11:25 PM,06:44 AM,04:57 PM,0,-3,0,-3,20,100,100,3.3,1000,1,4,169,10,Warsaw
2010-02-20,0,-0,0.3,3.8,1,43,08:13 AM,No moonset,06:42 AM,04:58 PM,0,-3,0,-3,22,100,100,5.6,993,0,7,241,13,Warsaw
2010-02-21,0,-2,0.2,4.0,1,50,08:41 AM,12:40 AM,06:40 AM,05:00 PM,-1,-4,-1,-4,16,100,99,0.2,1002,0,3,265,10,Warsaw
2010-02-22,0,-4,0.2,4.0,1,57,09:21 AM,01:54 AM,06:38 AM,05:02 PM,-1,-4,-1,-4,19,86,99,0.4,1004,0,6,183,11,Warsaw
